cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 1, 1, 1, 0, 0
2, 2, 0, 2, 1, 1, 0, 0
3, 1, 2, 1, 1, 1, 2, 0.666667
4, 2, 0, 0, 1, 1, 2, 0.5
5, 0, 1, 0, 1, 1, 3, 0.6
6, 2, 2, 1, 1, 1, 5, 0.833333
7, 1, 1, 2, 1, 1, 6, 0.857143
8, 2, 1, 1, 1, 1, 7, 0.875
9, 1, 1, 0, 1, 1, 8, 0.888889
10, 0, 1, 2, 1, 1, 9, 0.9
11, 0, 0, 0, 1, 1, 9, 0.818182
12, 0, 1, 2, 1, 1, 10, 0.833333
13, 2, 1, 1, 1, 1, 11, 0.846154
14, 2, 0, 0, 1, 1, 11, 0.785714
15, 2, 2, 2, 1, 1, 13, 0.866667
16, 1, 2, 2, 1, 1, 15, 0.9375
17, 0, 0, 1, 1, 1, 15, 0.882353
18, 0, 2, 0, 1, 1, 17, 0.944444
19, 1, 0, 2, 1, 1, 17, 0.894737
20, 2, 1, 2, 1, 1, 18, 0.9
21, 0, 0, 2, 1, 1, 18, 0.857143
22, 0, 0, 1, 1, 1, 18, 0.818182
23, 0, 2, 1, 1, 1, 20, 0.869565
24, 0, 2, 1, 1, 1, 22, 0.916667
25, 0, 2, 2, 1, 1, 24, 0.96
26, 0, 0, 1, 1, 1, 24, 0.923077
27, 0, 2, 0, 1, 1, 26, 0.962963
28, 2, 2, 1, 1, 1, 28, 1
29, 0, 2, 2, 1, 1, 30, 1.03448
30, 0, 0, 2, 1, 1, 30, 1
31, 0, 0, 0, 1, 1, 30, 0.967742
32, 0, 1, 2, 1, 1, 31, 0.96875
33, 0, 0, 2, 1, 1, 31, 0.939394
34, 0, 0, 0, 1, 1, 31, 0.911765
35, 0, 1, 0, 1, 1, 32, 0.914286
36, 1, 0, 2, 1, 1, 32, 0.888889
37, 1, 2, 1, 1, 1, 34, 0.918919
38, 2, 0, 1, 1, 1, 34, 0.894737
39, 0, 2, 1, 1, 1, 36, 0.923077
40, 0, 2, 1, 1, 1, 38, 0.95
41, 2, 0, 2, 1, 1, 38, 0.926829
42, 0, 0, 2, 1, 1, 38, 0.904762
43, 0, 0, 0, 1, 1, 38, 0.883721
44, 0, 1, 1, 1, 1, 39, 0.886364
45, 0, 2, 1, 1, 1, 41, 0.911111
46, 0, 2, 2, 1, 1, 43, 0.934783
47, 1, 2, 0, 1, 1, 45, 0.957447
48, 0, 1, 2, 1, 1, 46, 0.958333
49, 0, 0, 0, 1, 1, 46, 0.938776
50, 0, 1, 1, 1, 1, 47, 0.94
51, 0, 2, 1, 1, 1, 49, 0.960784
52, 2, 0, 0, 1, 1, 49, 0.942308
53, 2, 2, 1, 1, 1, 51, 0.962264
54, 2, 0, 2, 1, 1, 51, 0.944444
55, 0, 0, 2, 1, 1, 51, 0.927273
56, 0, 0, 1, 1, 1, 51, 0.910714
57, 0, 2, 1, 1, 1, 53, 0.929825
58, 1, 1, 2, 1, 1, 54, 0.931034
59, 1, 2, 2, 1, 1, 56, 0.949153
60, 1, 2, 2, 1, 1, 58, 0.966667
61, 2, 1, 0, 1, 1, 59, 0.967213
62, 2, 2, 1, 1, 1, 61, 0.983871
63, 2, 0, 2, 1, 1, 61, 0.968254
64, 2, 1, 0, 1, 1, 62, 0.96875
65, 2, 2, 0, 1, 1, 64, 0.984615
66, 0, 1, 0, 1, 1, 65, 0.984848
67, 1, 0, 1, 1, 1, 65, 0.970149
68, 2, 0, 0, 1, 1, 65, 0.955882
69, 2, 2, 1, 1, 1, 67, 0.971014
70, 1, 1, 2, 1, 1, 68, 0.971429
71, 1, 2, 1, 1, 1, 70, 0.985915
72, 2, 0, 2, 1, 1, 70, 0.972222
73, 1, 2, 2, 1, 1, 72, 0.986301
74, 0, 0, 1, 1, 1, 72, 0.972973
75, 0, 2, 1, 1, 1, 74, 0.986667
76, 2, 0, 1, 1, 1, 74, 0.973684
77, 0, 2, 0, 1, 1, 76, 0.987013
78, 1, 0, 0, 1, 1, 76, 0.974359
79, 0, 1, 0, 1, 1, 77, 0.974684
80, 0, 1, 2, 1, 1, 78, 0.975
81, 0, 0, 1, 1, 1, 78, 0.962963
82, 0, 2, 0, 1, 1, 80, 0.97561
83, 0, 1, 0, 1, 1, 81, 0.975904
84, 2, 2, 2, 1, 1, 83, 0.988095
85, 0, 0, 2, 1, 1, 83, 0.976471
86, 0, 0, 1, 1, 1, 83, 0.965116
87, 0, 2, 1, 1, 1, 85, 0.977011
88, 0, 2, 2, 1, 1, 87, 0.988636
89, 1, 2, 0, 1, 1, 89, 1
90, 2, 2, 1, 1, 1, 91, 1.01111
91, 2, 0, 0, 1, 1, 91, 1
92, 1, 0, 2, 1, 1, 91, 0.98913
93, 0, 0, 2, 1, 1, 91, 0.978495
94, 0, 0, 1, 1, 1, 91, 0.968085
95, 0, 2, 2, 1, 1, 93, 0.978947
96, 1, 2, 2, 1, 1, 95, 0.989583
97, 0, 0, 1, 1, 1, 95, 0.979381
98, 0, 2, 2, 1, 1, 97, 0.989796
99, 0, 0, 2, 1, 1, 97, 0.979798
100, 0, 0, 2, 1, 1, 97, 0.97
101, 0, 0, 1, 1, 1, 97, 0.960396
102, 0, 2, 2, 1, 1, 99, 0.970588
103, 2, 1, 2, 1, 1, 100, 0.970874
104, 0, 0, 0, 1, 1, 100, 0.961538
105, 0, 1, 1, 1, 1, 101, 0.961905
106, 0, 2, 1, 1, 1, 103, 0.971698
